movie_id,title,genres,overview
1,Inception,"Action Sci-Fi Thriller","A skilled thief enters people's dreams to steal secrets and is offered a chance to erase his past by planting an idea."
2,Interstellar,"Adventure Drama Sci-Fi","A team of explorers travels through a wormhole in space in an attempt to save humanity from a dying Earth."
3,The Matrix,"Action Sci-Fi","A hacker discovers that reality is a simulated world and joins a rebellion against intelligent machines."
4,The Dark Knight,"Action Crime Drama","Batman faces the Joker, a criminal mastermind who spreads chaos across Gotham City."
5,Batman Begins,"Action Crime Drama","Bruce Wayne trains to become Batman and fights corruption and fear in Gotham City."
6,Joker,"Crime Drama Thriller","A failed comedian in Gotham City descends into madness and becomes a symbol of violent chaos."
7,Man of Steel,"Action Adventure Sci-Fi","An alien raised on Earth becomes Superman and must protect humanity from a threat from his home world."
8,Avengers,"Action Adventure Sci-Fi","A group of superheroes joins forces to stop a powerful enemy from conquering Earth."
9,Iron Man,"Action Adventure Sci-Fi","A billionaire engineer builds a high-tech armored suit and becomes a superhero."
10,Guardians of the Galaxy,"Action Adventure Comedy","A group of misfits travels across space to protect a powerful orb from a dangerous villain."
11,Toy Story,"Animation Adventure Comedy","A cowboy doll feels threatened when a new space ranger toy becomes his owner's favorite."
12,Finding Nemo,"Animation Adventure Comedy","A clownfish crosses the ocean to find his missing son with help from a forgetful friend."
13,The Lion King,"Animation Adventure Drama","A young lion prince flees his kingdom and must learn to accept his destiny."
14,Titanic,"Drama Romance","A young aristocrat and a poor artist fall in love aboard a doomed ocean liner."
15,The Notebook,"Drama Romance","A couple from different social backgrounds falls in love and faces years of separation and longing."
16,La La Land,"Comedy Drama Music Romance","An aspiring actress and a jazz musician fall in love while chasing their dreams in Los Angeles."
17,The Godfather,"Crime Drama","The aging patriarch of a powerful crime family transfers control of his empire to his reluctant son."
18,Goodfellas,"Biography Crime Drama","A young man grows up in the mob and experiences the glamour and danger of organized crime."
19,John Wick,"Action Crime Thriller","A retired assassin returns to the criminal underworld after a personal tragedy."
20,Mad Max Fury Road,"Action Adventure Sci-Fi","In a post-apocalyptic wasteland, rebels flee a tyrant in a high-speed battle for survival."
21,Batman,"Action Crime Drama","A masked vigilante protects Gotham City from criminals while confronting fear corruption and chaos."
